id,host,output,model,kind,state,parent_experiment_id,review_family,review_decision,batch,input_batch_target,input_batch_policy,ce_tokens,ce_token_budget,optimizer_updates,data_sha256,tokenizer_sha256,audit_findings,limitations
exp-567af209bdc5,local,mf1-performance-v2/steady-512,minifrontier1,synthetic,complete,,mf1-performance,finish_bounded_measurements,,,mf1_whole_example,0,,0,,,[],"[""512 短序列吞吐不能外推 8K native 多模态"", ""MB 8/16 仍约 68 CE/s，批量大小未解决 reference 调度瓶颈"", ""性能通过不等于正确性或能力通过""]"
exp-a3d8457d6fb0,local,mf1-post-dev1/draft,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,,mf1_whole_example,0,,2,3b38695209490bac0051f9d5f957f288b858faf176b46a45460e803e7e42815f,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-3ec891fa3028,local,mf1-post-dev1/rl,minifrontier1,training,unverified,,mf1-integration,integration_only,,,mf1_whole_example,0,,0,3b38695209490bac0051f9d5f957f288b858faf176b46a45460e803e7e42815f,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-f47ddb805eb5,local,mf1-post-dev2/rl,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,,mf1_whole_example,0,,0,3b38695209490bac0051f9d5f957f288b858faf176b46a45460e803e7e42815f,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-9581dbd73213,local,mf1-quickstart-dev1/indexer,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,0,,2,3b38695209490bac0051f9d5f957f288b858faf176b46a45460e803e7e42815f,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-5e43f2e38943,local,mf1-quickstart-dev1/p2,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,27,,2,3b38695209490bac0051f9d5f957f288b858faf176b46a45460e803e7e42815f,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-b18959d44d3a,local,mf1-quickstart-dev1/pilot,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,64,,4,3b38695209490bac0051f9d5f957f288b858faf176b46a45460e803e7e42815f,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-f44968347179,local,mf1-quickstart-dev1/sft,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,37,,2,3b38695209490bac0051f9d5f957f288b858faf176b46a45460e803e7e42815f,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-400eac71cb81,local,mf1-quickstart-v1/indexer,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,0,,2,3b38695209490bac0051f9d5f957f288b858faf176b46a45460e803e7e42815f,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-ed7553d2d250,local,mf1-quickstart-v1/p2,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,27,,2,3b38695209490bac0051f9d5f957f288b858faf176b46a45460e803e7e42815f,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-d4f6f500c4f3,local,mf1-quickstart-v1/pilot,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,128,,8,3b38695209490bac0051f9d5f957f288b858faf176b46a45460e803e7e42815f,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-07abf8c28340,local,mf1-quickstart-v1/sft,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,37,,2,3b38695209490bac0051f9d5f957f288b858faf176b46a45460e803e7e42815f,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-5264b0bd8749,local,mf1-quickstart-v2/indexer,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,0,,2,4e811f528eee8a887d98a01ca8a3241db100e18b0e6ac24cc3d5e780f0e02e98,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-d50124527d5c,local,mf1-quickstart-v2/p2,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,27,,2,4e811f528eee8a887d98a01ca8a3241db100e18b0e6ac24cc3d5e780f0e02e98,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-ca38ec88fc48,local,mf1-quickstart-v2/pilot,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,128,,8,4e811f528eee8a887d98a01ca8a3241db100e18b0e6ac24cc3d5e780f0e02e98,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-8edccfcf8bf4,local,mf1-quickstart-v2/sft,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,37,,2,4e811f528eee8a887d98a01ca8a3241db100e18b0e6ac24cc3d5e780f0e02e98,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-b11f740d5eef,local,mf1-teachers-v1/math-direct,minifrontier1,training,updates_complete_unqualified,,mf1-integration,integration_only,,,mf1_whole_example,0,,0,3b38695209490bac0051f9d5f957f288b858faf176b46a45460e803e7e42815f,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-b7cb4dcb5b01,local,mf1-teachers-v1/vision-direct,minifrontier1,training,updates_complete_unqualified,,mf1-integration,integration_only,,,mf1_whole_example,0,,0,3b38695209490bac0051f9d5f957f288b858faf176b46a45460e803e7e42815f,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-09f8652a0469,local,mf1-wheel-outside/precommit-quickstart/minideepseekv4/pretrain,minideepseekv4,training,complete,,mf1-integration,integration_only,2,,legacy_whole_microbatch,224,,8,04b1091adcb41f1fdb95ad5af2ca1901c0a37f82f5c5bb9524f260910a7d227a,2ffbbcae11e4976309666b5a81d6452fce082dcc593033eeac63a3c6f44115bd,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-096dd0116bf7,local,mf1-wheel-outside/precommit-quickstart/minideepseekv4/sft,minideepseekv4,training,complete,,mf1-integration,integration_only,2,,legacy_whole_microbatch,36,,8,04b1091adcb41f1fdb95ad5af2ca1901c0a37f82f5c5bb9524f260910a7d227a,2ffbbcae11e4976309666b5a81d6452fce082dcc593033eeac63a3c6f44115bd,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-778c623757d3,local,mf1-wheel-outside/precommit-quickstart/minifrontier1/indexer,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,0,,2,4e811f528eee8a887d98a01ca8a3241db100e18b0e6ac24cc3d5e780f0e02e98,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-bbbed46f67eb,local,mf1-wheel-outside/precommit-quickstart/minifrontier1/p2,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,27,,2,4e811f528eee8a887d98a01ca8a3241db100e18b0e6ac24cc3d5e780f0e02e98,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-4eeeffca284a,local,mf1-wheel-outside/precommit-quickstart/minifrontier1/pilot,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,128,,8,4e811f528eee8a887d98a01ca8a3241db100e18b0e6ac24cc3d5e780f0e02e98,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-6844d33e80e4,local,mf1-wheel-outside/precommit-quickstart/minifrontier1/sft,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,37,,2,4e811f528eee8a887d98a01ca8a3241db100e18b0e6ac24cc3d5e780f0e02e98,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-6a81e0093497,local,mf1-wheel-outside/precommit-quickstart/minikimik3/pretrain,minikimik3,training,complete,,mf1-integration,integration_only,2,,legacy_whole_microbatch,224,,8,04b1091adcb41f1fdb95ad5af2ca1901c0a37f82f5c5bb9524f260910a7d227a,2ffbbcae11e4976309666b5a81d6452fce082dcc593033eeac63a3c6f44115bd,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-3ecd1ee0d8a3,local,mf1-wheel-outside/precommit-quickstart/minikimik3/sft,minikimik3,training,complete,,mf1-integration,integration_only,2,,legacy_whole_microbatch,36,,8,04b1091adcb41f1fdb95ad5af2ca1901c0a37f82f5c5bb9524f260910a7d227a,2ffbbcae11e4976309666b5a81d6452fce082dcc593033eeac63a3c6f44115bd,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-99bdb5deeceb,local,mf1-wheel-outside/precommit-quickstart/miniqwen4/pretrain,miniqwen4,training,complete,,mf1-integration,integration_only,2,,legacy_whole_microbatch,224,,8,04b1091adcb41f1fdb95ad5af2ca1901c0a37f82f5c5bb9524f260910a7d227a,2ffbbcae11e4976309666b5a81d6452fce082dcc593033eeac63a3c6f44115bd,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-26a75c136f8c,local,mf1-wheel-outside/precommit-quickstart/miniqwen4/sft,miniqwen4,training,complete,,mf1-integration,integration_only,2,,legacy_whole_microbatch,36,,8,04b1091adcb41f1fdb95ad5af2ca1901c0a37f82f5c5bb9524f260910a7d227a,2ffbbcae11e4976309666b5a81d6452fce082dcc593033eeac63a3c6f44115bd,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-77519a2305a4,local,mf1-wheel-outside/quickstart/minideepseekv4/pretrain,minideepseekv4,training,complete,,mf1-integration,integration_only,2,,legacy_whole_microbatch,224,,8,04b1091adcb41f1fdb95ad5af2ca1901c0a37f82f5c5bb9524f260910a7d227a,2ffbbcae11e4976309666b5a81d6452fce082dcc593033eeac63a3c6f44115bd,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-3ac2315a7f7f,local,mf1-wheel-outside/quickstart/minideepseekv4/sft,minideepseekv4,training,complete,,mf1-integration,integration_only,2,,legacy_whole_microbatch,36,,8,04b1091adcb41f1fdb95ad5af2ca1901c0a37f82f5c5bb9524f260910a7d227a,2ffbbcae11e4976309666b5a81d6452fce082dcc593033eeac63a3c6f44115bd,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-ad89fcc5f1b3,local,mf1-wheel-outside/quickstart/minifrontier1/indexer,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,0,,2,3b38695209490bac0051f9d5f957f288b858faf176b46a45460e803e7e42815f,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-9e80d88777ca,local,mf1-wheel-outside/quickstart/minifrontier1/p2,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,27,,2,3b38695209490bac0051f9d5f957f288b858faf176b46a45460e803e7e42815f,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-55a15605317b,local,mf1-wheel-outside/quickstart/minifrontier1/pilot,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,128,,8,3b38695209490bac0051f9d5f957f288b858faf176b46a45460e803e7e42815f,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-2ae5768ff329,local,mf1-wheel-outside/quickstart/minifrontier1/sft,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,37,,2,3b38695209490bac0051f9d5f957f288b858faf176b46a45460e803e7e42815f,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-02c27a71a83e,local,mf1-wheel-outside/quickstart/minikimik3/pretrain,minikimik3,training,complete,,mf1-integration,integration_only,2,,legacy_whole_microbatch,224,,8,04b1091adcb41f1fdb95ad5af2ca1901c0a37f82f5c5bb9524f260910a7d227a,2ffbbcae11e4976309666b5a81d6452fce082dcc593033eeac63a3c6f44115bd,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-934633a99dba,local,mf1-wheel-outside/quickstart/minikimik3/sft,minikimik3,training,complete,,mf1-integration,integration_only,2,,legacy_whole_microbatch,36,,8,04b1091adcb41f1fdb95ad5af2ca1901c0a37f82f5c5bb9524f260910a7d227a,2ffbbcae11e4976309666b5a81d6452fce082dcc593033eeac63a3c6f44115bd,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-a40d747e56c4,local,mf1-wheel-outside/quickstart/miniqwen4/pretrain,miniqwen4,training,complete,,mf1-integration,integration_only,2,,legacy_whole_microbatch,224,,8,04b1091adcb41f1fdb95ad5af2ca1901c0a37f82f5c5bb9524f260910a7d227a,2ffbbcae11e4976309666b5a81d6452fce082dcc593033eeac63a3c6f44115bd,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-71ca4338bddf,local,mf1-wheel-outside/quickstart/miniqwen4/sft,miniqwen4,training,complete,,mf1-integration,integration_only,2,,legacy_whole_microbatch,36,,8,04b1091adcb41f1fdb95ad5af2ca1901c0a37f82f5c5bb9524f260910a7d227a,2ffbbcae11e4976309666b5a81d6452fce082dcc593033eeac63a3c6f44115bd,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-797aa27c28d7,local,mf1-wheel-outside/quickstart-v2/minideepseekv4/pretrain,minideepseekv4,training,complete,,mf1-integration,integration_only,2,,legacy_whole_microbatch,224,,8,04b1091adcb41f1fdb95ad5af2ca1901c0a37f82f5c5bb9524f260910a7d227a,2ffbbcae11e4976309666b5a81d6452fce082dcc593033eeac63a3c6f44115bd,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-f800b23d7a79,local,mf1-wheel-outside/quickstart-v2/minideepseekv4/sft,minideepseekv4,training,complete,,mf1-integration,integration_only,2,,legacy_whole_microbatch,36,,8,04b1091adcb41f1fdb95ad5af2ca1901c0a37f82f5c5bb9524f260910a7d227a,2ffbbcae11e4976309666b5a81d6452fce082dcc593033eeac63a3c6f44115bd,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-1af16f411e49,local,mf1-wheel-outside/quickstart-v2/minifrontier1/indexer,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,0,,2,4e811f528eee8a887d98a01ca8a3241db100e18b0e6ac24cc3d5e780f0e02e98,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-5f532d8ccce4,local,mf1-wheel-outside/quickstart-v2/minifrontier1/p2,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,27,,2,4e811f528eee8a887d98a01ca8a3241db100e18b0e6ac24cc3d5e780f0e02e98,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-f83b6e024c44,local,mf1-wheel-outside/quickstart-v2/minifrontier1/pilot,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,128,,8,4e811f528eee8a887d98a01ca8a3241db100e18b0e6ac24cc3d5e780f0e02e98,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-382e71595787,local,mf1-wheel-outside/quickstart-v2/minifrontier1/sft,minifrontier1,training,budget_complete_unqualified,,mf1-integration,integration_only,,64,mf1_whole_example,37,,2,4e811f528eee8a887d98a01ca8a3241db100e18b0e6ac24cc3d5e780f0e02e98,98709625a9b309859e514a0e45f934025d45fa50fbb94af5d43245a4bb150dcf,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-021b3a4f9750,local,mf1-wheel-outside/quickstart-v2/minikimik3/pretrain,minikimik3,training,complete,,mf1-integration,integration_only,2,,legacy_whole_microbatch,224,,8,04b1091adcb41f1fdb95ad5af2ca1901c0a37f82f5c5bb9524f260910a7d227a,2ffbbcae11e4976309666b5a81d6452fce082dcc593033eeac63a3c6f44115bd,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
exp-4b6486f6ba7a,local,mf1-wheel-outside/quickstart-v2/minikimik3/sft,minikimik3,training,complete,,mf1-integration,integration_only,2,,legacy_whole_microbatch,36,,8,04b1091adcb41f1fdb95ad5af2ca1901c0a37f82f5c5bb9524f260910a7d227a,2ffbbcae11e4976309666b5a81d6452fce082dcc593033eeac63a3c6f44115bd,[],"[""fixture 运行不能证明正式 RL、教师资格或草稿加速"", ""台账条数包含阶段和安装用例，不等于独立科学试验数""]"
